Source,Target,Lag,Lag_min,Val_corr,P_value
Activity_IR,Activity_IR,1,10,0.4282,0.0
HeartRate,Activity_IR,1,10,0.0426,0.0
StressIndex,Activity_IR,1,10,0.0229,0.0211
Humidity,Activity_IR,1,10,0.0336,0.0405
CO2,Activity_IR,1,10,-0.0598,0.0
TVOC,Activity_IR,1,10,-0.0504,0.0
Risk_bin,Activity_IR,1,10,-0.0421,0.0492
Humidity,Activity_IR,2,20,-0.0571,0.0004
CO2,Activity_IR,2,20,-0.0423,0.0403
TVOC,Activity_IR,2,20,-0.0421,0.0152
Activity_IR,Activity_IR,3,30,0.0482,0.0003
HeartRate,Activity_IR,3,30,0.0336,0.0043
BreathRate,Activity_IR,3,30,0.0216,0.0235
Humidity,Activity_IR,3,30,-0.0762,0.0
TVOC,Activity_IR,3,30,0.0043,0.0237
Activity_IR,Activity_IR,4,40,-0.0376,0.0397
HeartRate,Activity_IR,4,40,-0.0082,0.0242
StressIndex,Activity_IR,4,40,0.0236,0.0016
Temperature,Activity_IR,4,40,-0.0079,0.022
Humidity,Activity_IR,4,40,-0.0039,0.001
BreathRate,Activity_IR,5,50,-0.0244,0.0277
Temperature,Activity_IR,5,50,-0.014,0.0104
Humidity,Activity_IR,5,50,-0.0245,0.0228
HeartRate,Activity_IR,6,60,0.0196,0.0468
StressIndex,Activity_IR,6,60,0.0118,0.0213
Temperature,Activity_IR,6,60,0.0315,0.0352
CO2,Activity_IR,6,60,-0.0153,0.0305
Risk_bin,Activity_IR,6,60,0.0081,0.0433
HeartRate,BreathRate,1,10,0.039,0.0042
BreathRate,BreathRate,1,10,0.3705,0.0
CO2,BreathRate,1,10,0.0017,0.0311
TVOC,BreathRate,1,10,0.0035,0.0243
Risk_bin,BreathRate,1,10,0.0219,0.0075
HeartRate,BreathRate,2,20,0.0165,0.017
BreathRate,BreathRate,2,20,0.0917,0.0
Humidity,BreathRate,2,20,-0.0164,0.0467
Risk_bin,BreathRate,2,20,-0.0087,0.0303
HeartRate,BreathRate,3,30,-0.0083,0.0052
BreathRate,BreathRate,3,30,0.022,0.0262
Temperature,BreathRate,3,30,-0.0156,0.0129
Risk_bin,BreathRate,3,30,0.0168,0.0483
Activity_IR,BreathRate,4,40,-0.0124,0.0105
Temperature,BreathRate,4,40,0.0171,0.0337
CO2,BreathRate,4,40,-0.0081,0.0473
Activity_IR,BreathRate,5,50,-0.0127,0.0233
BreathRate,BreathRate,5,50,0.0004,0.0006
CO2,BreathRate,5,50,0.0282,0.0274
Risk_bin,BreathRate,5,50,-0.0221,0.0382
HeartRate,BreathRate,6,60,0.0353,0.0006
BreathRate,BreathRate,6,60,0.0112,0.0003
Humidity,BreathRate,6,60,-0.0208,0.0199
CO2,BreathRate,6,60,-0.0132,0.0233
TVOC,BreathRate,6,60,-0.0065,0.0235
Activity_IR,CO2,1,10,0.0783,0.0009
Temperature,CO2,1,10,-0.0817,0.0
Humidity,CO2,1,10,-0.0466,0.0
StressIndex,CO2,2,20,0.0281,0.0427
Temperature,CO2,2,20,0.0377,0.0003
Humidity,CO2,2,20,0.0006,0.0007
TVOC,CO2,2,20,-0.0381,0.0455
Risk_bin,CO2,2,20,-0.0136,0.0446
Activity_IR,CO2,3,30,0.0169,0.0086
Humidity,CO2,3,30,-0.0134,0.0
BreathRate,CO2,4,40,0.018,0.0224
StressIndex,CO2,4,40,-0.0018,0.0064
Temperature,CO2,4,40,0.0225,0.0185
CO2,CO2,4,40,0.0165,0.0013
TVOC,CO2,4,40,0.0115,0.0001
Activity_IR,CO2,5,50,-0.0064,0.0182
BreathRate,CO2,5,50,-0.0234,0.0126
Humidity,CO2,5,50,-0.003,0.0328
Risk_bin,CO2,5,50,0.0076,0.0005
Activity_IR,CO2,6,60,-0.0135,0.0234
TVOC,CO2,6,60,-0.0302,0.0407
Risk_bin,CO2,6,60,0.0223,0.0223
Activity_IR,HeartRate,1,10,0.0529,0.0006
HeartRate,HeartRate,1,10,0.4093,0.0
BreathRate,HeartRate,1,10,0.0725,0.0001
StressIndex,HeartRate,1,10,0.0179,0.025
Humidity,HeartRate,1,10,-0.0327,0.0191
CO2,HeartRate,1,10,-0.0167,0.0269
Risk_bin,HeartRate,1,10,0.0045,0.0464
HeartRate,HeartRate,2,20,0.1395,0.0
Temperature,HeartRate,2,20,-0.0143,0.0241
Humidity,HeartRate,2,20,-0.0294,0.0435
CO2,HeartRate,2,20,0.0126,0.0495
HeartRate,HeartRate,3,30,0.0733,0.0
BreathRate,HeartRate,3,30,-0.0143,0.0406
StressIndex,HeartRate,3,30,0.0272,0.0093
Temperature,HeartRate,3,30,-0.029,0.0114
TVOC,HeartRate,3,30,-0.0084,0.0484
BreathRate,HeartRate,4,40,0.0106,0.0369
Humidity,HeartRate,4,40,0.0034,0.0104
CO2,HeartRate,4,40,-0.0166,0.0362
HeartRate,HeartRate,5,50,0.0405,0.0062
BreathRate,HeartRate,5,50,-0.0206,0.0177
StressIndex,HeartRate,5,50,0.0179,0.0401
HeartRate,HeartRate,6,60,0.0289,0.0119
BreathRate,HeartRate,6,60,-0.0039,0.0215
StressIndex,HeartRate,6,60,0.007,0.0221
Risk_bin,HeartRate,6,60,0.0052,0.0376
Activity_IR,Humidity,1,10,-0.04,0.0033
HeartRate,Humidity,1,10,-0.022,0.0372
BreathRate,Humidity,1,10,-0.0157,0.0052
Temperature,Humidity,1,10,-0.1227,0.0
Humidity,Humidity,1,10,0.7111,0.0
CO2,Humidity,1,10,0.0742,0.0
TVOC,Humidity,1,10,0.0298,0.0005
Temperature,Humidity,2,20,0.029,0.0033
Humidity,Humidity,2,20,-0.0364,0.0061
CO2,Humidity,2,20,0.0124,0.0104
Risk_bin,Humidity,2,20,0.0305,0.0117
StressIndex,Humidity,3,30,-0.0162,0.0115
Temperature,Humidity,3,30,0.0274,0.0147
BreathRate,Humidity,4,40,0.0288,0.0395
Temperature,Humidity,4,40,0.0364,0.002
Humidity,Humidity,4,40,0.0365,0.0009
CO2,Humidity,4,40,-0.0008,0.0021
TVOC,Humidity,4,40,-0.01,0.0132
HeartRate,Humidity,5,50,0.0067,0.043
Temperature,Humidity,5,50,0.0256,0.0118
Humidity,Humidity,5,50,0.031,0.0002
Activity_IR,Humidity,6,60,-0.0205,0.0073
Activity_IR,Risk_bin,1,10,-0.0207,0.048
BreathRate,Risk_bin,1,10,0.0175,0.0489
Risk_bin,Risk_bin,1,10,0.3935,0.0
BreathRate,Risk_bin,2,20,-0.0292,0.0063
StressIndex,Risk_bin,2,20,-0.0233,0.0196
Temperature,Risk_bin,2,20,-0.0255,0.0482
Risk_bin,Risk_bin,2,20,0.1315,0.0
HeartRate,Risk_bin,3,30,-0.0109,0.0025
CO2,Risk_bin,3,30,0.0119,0.0382
Risk_bin,Risk_bin,3,30,0.0824,0.0
HeartRate,Risk_bin,4,40,0.0273,0.0378
Risk_bin,Risk_bin,4,40,0.0447,0.0281
HeartRate,Risk_bin,5,50,0.0334,0.001
CO2,Risk_bin,5,50,0.0272,0.0167
BreathRate,Risk_bin,6,60,-0.0253,0.0279
Humidity,Risk_bin,6,60,-0.0099,0.0375
