Group,n_hh,n_samples,pos_rate,Macro_F1,Binary_F1,AUC_ROC,in_train,in_val,in_test,danger_ratio
A0030,1,5771,0.3906,0.565,0.3722,0.6751,True,False,False,0.103
A0029,1,4875,0.2589,0.7274,0.5716,0.8165,False,True,False,0.099
A0014,1,2418,0.3342,0.8189,0.752,0.895,False,True,False,0.0681
A0024,1,5616,0.229,0.7247,0.618,0.8656,True,False,False,0.0582
A0018,1,5400,0.225,0.7287,0.6324,0.9237,True,False,False,0.0527
A0012,1,4206,0.3626,0.7355,0.6926,0.8306,True,False,False,0.0508
A0025,1,5322,0.1584,0.6566,0.4477,0.7814,True,False,False,0.0413
A0015,1,4969,0.286,0.8269,0.7745,0.9465,True,False,False,0.0406
A0003,1,6293,0.3032,0.7824,0.6981,0.8532,False,False,True,0.0344
A0022,1,5914,0.2095,0.8071,0.7036,0.8995,True,False,False,0.0302
A0013,1,5341,0.2138,0.8024,0.7126,0.93,True,False,False,0.0297
A0017,1,1376,0.3358,0.6309,0.4337,0.6142,False,True,False,0.0275
A0008,1,4717,0.2012,0.7157,0.5605,0.8249,True,False,False,0.0233
A0002,1,4887,0.1455,0.6277,0.3502,0.7294,True,False,False,0.0233
A0010,1,5899,0.1878,0.6815,0.5446,0.8429,False,False,True,0.0212
A0019,1,2422,0.2287,0.6967,0.5861,0.853,True,False,False,0.0198
A0007,1,2445,0.1975,0.6969,0.534,0.8208,True,False,False,0.0155
A0005,1,3664,0.205,0.6624,0.4903,0.7653,True,False,False,0.015
A0026,1,4504,0.1508,0.777,0.6342,0.886,True,False,False,0.0129
A0009,1,758,0.0422,0.6735,0.3871,0.7953,True,False,False,0.0118
A0016,1,4975,0.2042,0.7752,0.6589,0.8747,False,False,True,0.0078
A0028,1,6391,0.1078,0.5187,0.1924,0.5734,False,False,True,0.0073
A0004,1,5779,0.2513,0.7243,0.6148,0.8169,False,True,False,0.0073
A0023,1,2283,0.0894,0.55,0.2398,0.6535,True,False,False,0.0057
A0006,1,12,0.0,0.4286,0.0,,False,False,True,0.0
A0021,1,105,0.0,1.0,0.0,,True,False,False,0.0
A0027,1,3315,0.0027,0.4954,0.0,0.8027,True,False,False,0.0
