Source,Target,Lag,n_hh,mean_val,freq
Temperature,Temperature,2,24,-0.20814166666666667,1.0
Activity_IR,Activity_IR,1,24,0.3486708333333333,1.0
HeartRate,HeartRate,1,24,0.4222333333333333,1.0
StressIndex,StressIndex,1,24,0.19568750000000001,1.0
Humidity,Temperature,1,24,0.142775,1.0
Temperature,Temperature,1,24,0.7967333333333334,1.0
BreathRate,BreathRate,2,24,0.06294166666666666,1.0
Humidity,Humidity,2,24,-0.047999999999999994,1.0
HeartRate,HeartRate,3,24,0.06660416666666667,1.0
Humidity,Humidity,1,24,0.7017000000000001,1.0
BreathRate,BreathRate,1,24,0.4293416666666667,1.0
TVOC,Temperature,1,23,0.031082608695652172,0.9583333333333334
StressIndex,StressIndex,2,23,0.11353478260869565,0.9583333333333334
Risk_bin,Risk_bin,1,23,0.4433826086956522,0.9583333333333334
TVOC,Humidity,1,23,0.04518260869565217,0.9583333333333334
Risk_bin,Risk_bin,2,22,0.12489545454545455,0.9166666666666666
StressIndex,StressIndex,3,22,0.07728181818181817,0.9166666666666666
BreathRate,BreathRate,3,22,0.04080909090909091,0.9166666666666666
Activity_IR,Temperature,2,22,-0.07875454545454545,0.9166666666666666
Activity_IR,Temperature,1,22,0.08303181818181818,0.9166666666666666
Activity_IR,Humidity,1,22,-0.050504545454545455,0.9166666666666666
CO2,Humidity,1,22,0.08715,0.9166666666666666
CO2,CO2,1,22,0.05143181818181818,0.9166666666666666
HeartRate,HeartRate,2,22,0.10699545454545455,0.9166666666666666
Temperature,Humidity,1,21,-0.09565714285714286,0.875
Humidity,Temperature,2,21,-0.03765714285714286,0.875
BreathRate,BreathRate,6,21,0.01999047619047619,0.875
Activity_IR,Activity_IR,3,21,0.03312380952380952,0.875
HeartRate,BreathRate,1,21,0.05079047619047619,0.875
CO2,Temperature,1,21,0.07055238095238095,0.875
Risk_bin,Risk_bin,3,21,0.05877142857142857,0.875
CO2,TVOC,1,20,0.035205,0.8333333333333334
Activity_IR,CO2,1,20,0.067965,0.8333333333333334
BreathRate,BreathRate,5,20,0.012640000000000002,0.8333333333333334
TVOC,CO2,1,20,-0.024845,0.8333333333333334
Risk_bin,Risk_bin,4,20,0.033460000000000004,0.8333333333333334
StressIndex,StressIndex,4,20,0.05117000000000001,0.8333333333333334
HeartRate,HeartRate,4,20,0.02898,0.8333333333333334
HeartRate,StressIndex,1,20,-0.059345,0.8333333333333334
CO2,CO2,4,19,0.011363157894736842,0.7916666666666666
Activity_IR,TVOC,1,19,0.06683684210526315,0.7916666666666666
BreathRate,BreathRate,4,19,0.025794736842105263,0.7916666666666666
Humidity,Humidity,3,19,0.017947368421052632,0.7916666666666666
CO2,TVOC,4,19,0.006047368421052632,0.7916666666666666
BreathRate,HeartRate,1,19,0.05313684210526316,0.7916666666666666
Humidity,Temperature,4,19,-0.0045947368421052626,0.7916666666666666
Activity_IR,Humidity,3,19,0.004536842105263158,0.7916666666666666
Activity_IR,Humidity,2,19,-0.014705263157894735,0.7916666666666666
Temperature,Humidity,3,18,-0.016994444444444444,0.75
Temperature,Humidity,2,18,-0.027016666666666668,0.75
TVOC,CO2,4,18,-0.0014555555555555554,0.75
Temperature,Activity_IR,4,18,0.013266666666666668,0.75
Activity_IR,Humidity,6,18,0.0016555555555555555,0.75
TVOC,TVOC,1,18,-0.011655555555555554,0.75
Activity_IR,Activity_IR,2,18,0.04326666666666667,0.75
Humidity,Activity_IR,1,18,-0.018222222222222223,0.75
Humidity,Temperature,3,18,-0.013522222222222222,0.75
TVOC,TVOC,4,17,-0.005658823529411765,0.7083333333333334
Temperature,Activity_IR,1,17,0.02202941176470588,0.7083333333333334
TVOC,TVOC,2,17,-0.01218235294117647,0.7083333333333334
TVOC,CO2,2,17,-0.01351764705882353,0.7083333333333334
Humidity,TVOC,1,17,-0.03191764705882353,0.7083333333333334
StressIndex,HeartRate,1,17,-0.023694117647058824,0.7083333333333334
StressIndex,StressIndex,5,17,0.052723529411764704,0.7083333333333334
Humidity,CO2,1,17,-0.033352941176470585,0.7083333333333334
HeartRate,HeartRate,6,17,0.011358823529411765,0.7083333333333334
Humidity,Activity_IR,4,17,0.00768235294117647,0.7083333333333334
BreathRate,Risk_bin,1,17,-0.016905882352941177,0.7083333333333334
CO2,CO2,2,17,0.018547058823529413,0.7083333333333334
CO2,CO2,5,16,0.01414375,0.6666666666666666
CO2,CO2,3,16,0.01375625,0.6666666666666666
Risk_bin,Risk_bin,5,16,0.0234125,0.6666666666666666
CO2,Activity_IR,1,16,0.0065625,0.6666666666666666
Humidity,Temperature,5,16,-0.00766875,0.6666666666666666
HeartRate,HeartRate,5,16,0.0223375,0.6666666666666666
Temperature,Temperature,3,16,0.008856250000000001,0.6666666666666666
Risk_bin,Risk_bin,6,16,0.019575,0.6666666666666666
Activity_IR,Risk_bin,1,15,-0.05046666666666667,0.625
Activity_IR,Humidity,5,15,0.014766666666666668,0.625
Activity_IR,Humidity,4,15,0.0022266666666666667,0.625
Activity_IR,HeartRate,1,15,0.03644,0.625
HeartRate,BreathRate,2,15,0.028093333333333335,0.625
Activity_IR,Temperature,4,15,-0.01422,0.625
Humidity,Activity_IR,3,15,-0.009713333333333333,0.625
Humidity,Humidity,4,15,0.006599999999999999,0.625
Activity_IR,CO2,2,15,0.0026066666666666673,0.625
HeartRate,Risk_bin,1,15,-0.02478666666666667,0.625
HeartRate,StressIndex,6,15,-0.010493333333333334,0.625
BreathRate,Risk_bin,4,15,-0.00306,0.625
TVOC,Humidity,2,15,0.0181,0.625
StressIndex,StressIndex,6,15,0.030373333333333332,0.625
StressIndex,HeartRate,6,15,-0.0012599999999999996,0.625
CO2,CO2,6,15,0.00092,0.625
TVOC,Temperature,2,15,0.018593333333333337,0.625
Temperature,StressIndex,2,15,0.0028933333333333333,0.625
Temperature,Activity_IR,2,15,0.0138,0.625
TVOC,Temperature,4,15,0.0001933333333333339,0.625
CO2,Humidity,2,15,0.011086666666666667,0.625
CO2,TVOC,2,15,0.01096,0.625
CO2,Temperature,2,15,0.024066666666666667,0.625
CO2,TVOC,3,15,0.0223,0.625
Humidity,Activity_IR,5,15,-0.009479999999999999,0.625
TVOC,TVOC,5,15,-0.003033333333333333,0.625
BreathRate,StressIndex,4,15,0.0013333333333333335,0.625
Humidity,CO2,3,15,-0.017946666666666666,0.625
HeartRate,BreathRate,3,15,0.016213333333333333,0.625
Humidity,TVOC,3,15,-0.01966,0.625
Humidity,Humidity,6,15,0.02178,0.625
BreathRate,HeartRate,4,15,0.0073,0.625
Risk_bin,HeartRate,1,15,-0.03961333333333334,0.625
Temperature,Activity_IR,3,15,0.01334,0.625
Activity_IR,HeartRate,5,14,-0.007271428571428572,0.5833333333333334
Activity_IR,HeartRate,6,14,-0.011164285714285713,0.5833333333333334
Risk_bin,HeartRate,6,14,-0.004428571428571428,0.5833333333333334
TVOC,CO2,5,14,0.0007214285714285715,0.5833333333333334
TVOC,Humidity,3,14,0.0007714285714285712,0.5833333333333334
HeartRate,StressIndex,2,14,-0.02148571428571428,0.5833333333333334
StressIndex,HeartRate,5,14,-0.004871428571428571,0.5833333333333334
Activity_IR,Temperature,5,14,0.004485714285714286,0.5833333333333334
Risk_bin,BreathRate,5,14,-0.0009500000000000004,0.5833333333333334
HeartRate,Activity_IR,1,14,0.02582142857142857,0.5833333333333334
HeartRate,Temperature,4,14,0.0051714285714285725,0.5833333333333334
Humidity,Activity_IR,6,14,-0.015,0.5833333333333334
Activity_IR,Activity_IR,5,14,0.029114285714285714,0.5833333333333334
Activity_IR,Activity_IR,4,14,0.014564285714285714,0.5833333333333334
Humidity,HeartRate,1,14,-0.009857142857142856,0.5833333333333334
HeartRate,Temperature,1,14,-0.003421428571428572,0.5833333333333334
Humidity,Activity_IR,2,14,-0.021035714285714286,0.5833333333333334
Humidity,TVOC,6,14,-0.013628571428571429,0.5833333333333334
CO2,TVOC,5,14,0.008457142857142858,0.5833333333333334
Activity_IR,TVOC,2,14,0.00034285714285714274,0.5833333333333334
CO2,Temperature,3,14,0.003028571428571429,0.5833333333333334
StressIndex,Activity_IR,4,14,0.016792857142857144,0.5833333333333334
StressIndex,TVOC,5,14,0.002842857142857143,0.5833333333333334
Activity_IR,HeartRate,2,13,0.014053846153846155,0.5416666666666666
HeartRate,TVOC,2,13,0.009530769230769232,0.5416666666666666
Temperature,Temperature,4,13,-0.0149,0.5416666666666666
Risk_bin,CO2,1,13,-0.010892307692307692,0.5416666666666666
Temperature,StressIndex,1,13,0.007592307692307692,0.5416666666666666
Risk_bin,TVOC,5,13,-0.012392307692307692,0.5416666666666666
StressIndex,Risk_bin,3,13,-0.015915384615384616,0.5416666666666666
Temperature,BreathRate,3,13,-0.0012,0.5416666666666666
Temperature,Activity_IR,6,13,0.004807692307692308,0.5416666666666666
TVOC,TVOC,6,13,0.001407692307692308,0.5416666666666666
BreathRate,TVOC,3,13,-0.0020769230769230773,0.5416666666666666
BreathRate,Temperature,3,13,0.005684615384615385,0.5416666666666666
CO2,Activity_IR,5,13,0.021138461538461537,0.5416666666666666
CO2,Activity_IR,2,13,-0.009415384615384615,0.5416666666666666
TVOC,StressIndex,6,13,-0.008276923076923078,0.5416666666666666
Humidity,HeartRate,4,13,-0.005661538461538462,0.5416666666666666
Humidity,HeartRate,5,13,0.0005461538461538453,0.5416666666666666
Humidity,HeartRate,6,13,-0.005792307692307692,0.5416666666666666
Humidity,CO2,6,13,-0.010946153846153845,0.5416666666666666
Activity_IR,CO2,3,13,0.004407692307692307,0.5416666666666666
Temperature,Humidity,4,13,0.008184615384615386,0.5416666666666666
Temperature,Humidity,5,13,-0.0018692307692307697,0.5416666666666666
HeartRate,BreathRate,6,13,0.002269230769230769,0.5416666666666666
